Name NL;Name FR;Name DE;X;Y;NIS
Heuvelland;Heuvelland;Heuvelland;2,8236;50,7806;33039
Hoegaarden;Hoegaarden;Hoegaarden;4,8879;50,7738;24041
Hoeilaart;Hoeilaart;Hoeilaart;4,4729;50,7659;23033
Hoeselt;Hoeselt;Hoeselt;5,4874;50,8501;73032
Holsbeek;Holsbeek;Holsbeek;4,8055;50,9266;24043
Honnelles;Honnelles;Honnelles;3,7348;50,349;53083
Hooglede;Hooglede;Hooglede;3,0827;50,9787;36006
Hoogstraten;Hoogstraten;Hoogstraten;4,7621;51,4012;13014
Horebeke;Horebeke;Horebeke;3,687;50,8378;45062
Hotton;Hotton;Hotton;5,4494;50,2702;83028
Houffalize;Houffalize;Houffalize;5,7898;50,1303;82014
Houthalen-Helchteren;Houthalen-Helchteren;Houthalen-Helchteren;5,3724;51,0285;72039
Houthulst;Houthulst;Houthulst;2,9511;50,9785;32006
Houyet;Houyet;Houyet;5,007;50,1869;91072
Hove;Hove;Hove;4,4745;51,1462;11021
Huldenberg;Huldenberg;Huldenberg;4,5839;50,7891;24045
Hulshout;Hulshout;Hulshout;4,7881;51,0758;13016
Huy;Huy;Huy;5,2412;50,5183;61031
Ichtegem;Ichtegem;Ichtegem;3,027;51,1294;35006
Ieper;Ieper;Ieper;2,8862;50,8515;33011
Incourt;Incourt;Incourt;4,7985;50,6918;25043
Ingelmunster;Ingelmunster;Ingelmunster;3,2556;50,9201;36007
Ittre;Ittre;Ittre;4,2631;50,649;25044
Izegem;Izegem;Izegem;3,2141;50,9203;36008
Jabbeke;Jabbeke;Jabbeke;3,0948;51,1829;31012
Jalhay;Jalhay;Jalhay;5,9677;50,5585;63038
Jemeppe-sur-Sambre;Jemeppe-sur-Sambre;Jemeppe-sur-Sambre;4,668;50,4658;92140
Jette;Jette;Jette;4,3242;50,8756;21010
Jodoigne;Jodoigne;Jodoigne;4,867;50,7244;25048
Juprelle;Juprelle;Juprelle;5,5281;50,7108;62060
Jurbise;Jurbise;Jurbise;3,9069;50,5342;53044
Kalmthout;Kalmthout;Kalmthout;4,4767;51,3831;11022
Kampenhout;Kampenhout;Kampenhout;4,5502;50,9409;23038
Kapellen;Kapellen;Kapellen;4,4316;51,3081;11023
Kapelle-op-den-Bos;Kapelle-op-den-Bos;Kapelle-op-den-Bos;4,3604;51,013;23039
Kaprijke;Kaprijke;Kaprijke;3,6174;51,2183;43007
Kasterlee;Kasterlee;Kasterlee;4,9682;51,2413;13017
Keerbergen;Keerbergen;Keerbergen;4,6296;51,0036;24048
Kinrooi;Kinrooi;Kinrooi;5,774;51,1446;72018
Kluisbergen;Kluisbergen;Kluisbergen;3,5136;50,7888;45060
Knokke-Heist;Knokke-Heist;Knokke-Heist;3,2899;51,3433;31043
Koekelare;Koekelare;Koekelare;2,9789;51,0892;32010
Koekelberg;Koekelberg;Koekelberg;4,3312;50,8608;21011
Koksijde;Koksijde;Koksijde;2,6344;51,1186;38014
Komen-Waasten;Comines-Warneton;Comines-Warneton;2,9993;50,7684;57097
Kontich;Kontich;Kontich;4,4459;51,1355;11024
Kortemark;Kortemark;Kortemark;3,0417;51,0254;32011
Kortenaken;Kortenaken;Kortenaken;5,0609;50,9086;24054
Kortenberg;Kortenberg;Kortenberg;4,5387;50,8856;24055
Kortessem;Kortessem;Kortessem;5,3903;50,8585;73040
Kortrijk;Kortrijk;Kortrijk;3,2647;50,8281;34022
Kraainem;Kraainem;Kraainem;4,4659;50,8617;23099
Kruibeke;Kruibeke;Kruibeke;4,3134;51,1711;46013
Kruisem;Kruisem;Kruisem;3,5277;50,9049;45068
Kuurne;Kuurne;Kuurne;3,2861;50,8501;34023
Laakdal;Laakdal;Laakdal;5,0209;51,0754;13053
Laarne;Laarne;Laarne;3,8499;51,0297;42010
La Bruyère;La Bruyère;La Bruyère;4,8046;50,5056;92141
La Calamine;La Calamine;Kelmis;6,0132;50,7158;63040
La Hulpe;La Hulpe;La Hulpe;4,4892;50,7313;25050
La Louvière;La Louvière;La Louvière;4,185;50,4795;58001
Lanaken;Lanaken;Lanaken;5,652;50,8892;73042
Landen;Landen;Landen;5,0815;50,7534;24059
Langemark-Poelkapelle;Langemark-Poelkapelle;Langemark-Poelkapelle;2,9175;50,9148;33040
La Roche-en-Ardenne;La Roche-en-Ardenne;La Roche-en-Ardenne;5,5754;50,1813;83031
Lasne;Lasne;Lasne;4,4715;50,6978;25119
Lebbeke;Lebbeke;Lebbeke;4,1284;51,0004;42011
Lede;Lede;Lede;3,9779;50,9665;41034
Ledegem;Ledegem;Ledegem;3,1344;50,859;36010
Léglise;Léglise;Léglise;5,536;49,7992;84033
Lendelede;Lendelede;Lendelede;3,2387;50,886;34025
Lennik;Lennik;Lennik;4,1547;50,8059;23104
Lens;Lens;Lens;3,9029;50,5561;53046
Leopoldsburg;Leopoldsburg;Leopoldsburg;5,2639;51,1194;71034
Le Rœulx;Le Rœulx;Le Rœulx;4,1093;50,5012;55035
Les Bons Villers;Les Bons Villers;Les Bons Villers;4,4465;50,5321;52075
Lessines;Lessines;Lessines;3,829;50,712;51069
Leuven;Leuven;Leuven;4,7012;50,8789;24062
Leuze-en-Hainaut;Leuze-en-Hainaut;Leuze-en-Hainaut;3,6214;50,6007;57094
Libin;Libin;Libin;5,2564;49,9812;84035
Libramont-Chevigny;Libramont-Chevigny;Libramont-Chevigny;5,3762;49,9153;84077
Lichtervelde;Lichtervelde;Lichtervelde;3,1399;51,0278;36011
Liedekerke;Liedekerke;Liedekerke;4,0844;50,8703;23044
Liège;Liège;Liège;5,5756;50,6454;62063
Lier;Lier;Lier;4,5699;51,131;12021
Lierde;Lierde;Lierde;3,824;50,8127;45063
Lierneux;Lierneux;Lierneux;5,7947;50,2837;63045
Lievegem;Lievegem;Lievegem;3,6096;51,0946;44085
Lille;Lille;Lille;4,8244;51,2402;13019
Limbourg;Limbourg;Limbourg;5,9423;50,6199;63046
Lincent;Lincent;Lincent;5,0331;50,7145;64047
Linkebeek;Linkebeek;Linkebeek;4,3362;50,773;23100
Lint;Lint;Lint;4,4939;51,1271;11025
Linter;Linter;Linter;5,0621;50,8056;24133
Lobbes;Lobbes;Lobbes;4,2654;50,3451;56044
Lochristi;Lochristi;Lochristi;3,8307;51,0959;44034
Lokeren;Lokeren;Lokeren;3,9892;51,1039;46014
Lommel;Lommel;Lommel;5,3044;51,2303;72020
Londerzeel;Londerzeel;Londerzeel;4,3016;51,0004;23045
Lontzen;Lontzen;Lontzen;5,9858;50,6617;63048
Lo-Reninge;Lo-Reninge;Lo-Reninge;2,7495;50,9798;32030
Lubbeek;Lubbeek;Lubbeek;4,8401;50,8835;24066
Lummen;Lummen;Lummen;5,1917;50,9865;71037
Maarkedal;Maarkedal;Maarkedal;3,626;50,8117;45064
Maaseik;Maaseik;Maaseik;5,7921;51,0951;72021
Maasmechelen;Maasmechelen;Maasmechelen;5,6965;50,9632;73107
Machelen;Machelen;Machelen;4,4324;50,9126;23047
Maldegem;Maldegem;Maldegem;3,4454;51,209;43010
Malle;Malle;Malle;4,6934;51,2972;11057
Malmedy;Malmedy;Malmedy;6,0274;50,4262;63049
Manage;Manage;Manage;4,227;50,4901;55086
Manhay;Manhay;Manhay;5,6755;50,291;83055
Marche-en-Famenne;Marche-en-Famenne;Marche-en-Famenne;5,3402;50,2261;83034
Marchin;Marchin;Marchin;5,2263;50,4799;61039
Martelange;Martelange;Martelange;5,7352;49,8306;81013
Mechelen;Mechelen;Mechelen;4,4816;51,0281;12025
Meerhout;Meerhout;Meerhout;5,0772;51,1325;13021
Meise;Meise;Meise;4,3116;50,9508;23050
Meix-devant-Virton;Meix-devant-Virton;Meix-devant-Virton;5,4786;49,6045;85024
Melle;Melle;Melle;3,7987;51,0032;44040
Menen;Menen;Menen;3,1201;50,796;34027
Merbes-le-Château;Merbes-le-Château;Merbes-le-Château;4,1655;50,3238;56049
Merchtem;Merchtem;Merchtem;4,2322;50,9582;23052
Merelbeke;Merelbeke;Merelbeke;3,7464;50,9938;44043
Merksplas;Merksplas;Merksplas;4,8627;51,3578;13023
Mesen;Messines;Messines;2,8977;50,7655;33016
Messancy;Messancy;Messancy;5,8141;49,5949;81015
Mettet;Mettet;Mettet;4,6568;50,3203;92087
Meulebeke;Meulebeke;Meulebeke;3,2884;50,9489;37007
Middelkerke;Middelkerke;Middelkerke;2,8213;51,185;35011
Modave;Modave;Modave;5,2981;50,4833;61041
Moerbeke;Moerbeke;Moerbeke;3,9383;51,1724;44045
Moeskroen;Mouscron;Mouscron;3,2141;50,7435;57096
Mol;Mol;Mol;5,1213;51,1866;13025
Momignies;Momignies;Momignies;4,1662;50,03;56051
Mons;Mons;Mons;3,9521;50,4549;53053
Mont-de-l'Enclus;Mont-de-l'Enclus;Mont-de-l'Enclus;3,507;50,7438;57095
Montigny-le-Tilleul;Montigny-le-Tilleul;Montigny-le-Tilleul;4,3801;50,3794;52048
Mont-Saint-Guibert;Mont-Saint-Guibert;Mont-Saint-Guibert;4,6125;50,6368;25068
Moorslede;Moorslede;Moorslede;3,0638;50,8913;36012
Morlanwelz;Morlanwelz;Morlanwelz;4,242;50,4562;58004
Mortsel;Mortsel;Mortsel;4,4573;51,1709;11029
Musson;Musson;Musson;5,7052;49,5581;85026
Namur;Namur;Namur;4,8662;50,4666;92094
Nandrin;Nandrin;Nandrin;5,4196;50,5065;61043
Nassogne;Nassogne;Nassogne;5,3422;50,1284;83040
Nazareth;Nazareth;Nazareth;3,5971;50,9599;44048
Neufchâteau;Neufchâteau;Neufchâteau;5,4355;49,8402;84043
Neupré;Neupré;Neupré;5,4809;50,5355;62121
Niel;Niel;Niel;4,326;51,1093;11030
Nieuwerkerken;Nieuwerkerken;Nieuwerkerken;5,1931;50,8649;71045
Nieuwpoort;Nieuwpoort;Nieuwpoort;2,7514;51,1292;38016
Nijlen;Nijlen;Nijlen;4,6703;51,1604;12026
Ninove;Ninove;Ninove;4,0175;50,833;41048
Nivelles;Nivelles;Nivelles;4,3235;50,5979;25072
Ohey;Ohey;Ohey;5,1209;50,436;92097
Olen;Olen;Olen;4,8596;51,1436;13029
Olne;Olne;Olne;5,7482;50,5907;63057
Onhaye;Onhaye;Onhaye;4,8393;50,2418;91103
Oostende;Oostende;Oostende;2,918;51,2264;35013
Oosterzele;Oosterzele;Oosterzele;3,8077;50,9455;44052
Oostkamp;Oostkamp;Oostkamp;3,235;51,1547;31022
Oostrozebeke;Oostrozebeke;Oostrozebeke;3,3343;50,9207;37010
Opwijk;Opwijk;Opwijk;4,1919;50,9703;23060
Oreye;Oreye;Oreye;5,3536;50,7287;64056
Orp-Jauche;Orp-Jauche;Orp-Jauche;4,9885;50,7003;25120
Ottignies-Louvain-la-Neuve;Ottignies-Louvain-la-Neuve;Ottignies-Louvain-la-Neuve;4,5663;50,6651;25121
Oudenaarde;Oudenaarde;Oudenaarde;3,6037;50,8439;45035
Oudenburg;Oudenburg;Oudenburg;3,0024;51,1846;35014
Oudergem;Auderghem;Auderghem;4,4278;50,8168;21002
Oud-Heverlee;Oud-Heverlee;Oud-Heverlee;4,6903;50,8269;24086
Oudsbergen;Oudsbergen;Oudsbergen;5,521;51,0959;72042
Oud-Turnhout;Oud-Turnhout;Oud-Turnhout;4,9822;51,3174;13031
Ouffet;Ouffet;Ouffet;5,4666;50,4383;61048
Oupeye;Oupeye;Oupeye;5,6673;50,7355;62079
Overijse;Overijse;Overijse;4,5351;50,7699;23062
Paliseul;Paliseul;Paliseul;5,1373;49,9037;84050
Pecq;Pecq;Pecq;3,3401;50,686;57062
Peer;Peer;Peer;5,45;51,1326;72030
Pelt;Pelt;Pelt;5,423;51,211;72043
Pepingen;Pepingen;Pepingen;4,1592;50,7596;23064
Pepinster;Pepinster;Pepinster;5,8036;50,567;63058
Péruwelz;Péruwelz;Péruwelz;3,5912;50,5078;57064
Perwez;Perwez;Perwez;4,8138;50,6238;25084
Philippeville;Philippeville;Philippeville;4,544;50,196;93056
Pittem;Pittem;Pittem;3,2663;50,9953;37011
Plombières;Plombières;Plombières;5,9671;50,7328;63088
Pont-à-Celles;Pont-à-Celles;Pont-à-Celles;4,3615;50,5124;52055
Poperinge;Poperinge;Poperinge;2,7276;50,8554;33021
Profondeville;Profondeville;Profondeville;4,869;50,3777;92101
Putte;Putte;Putte;4,6286;51,0572;12029
Puurs-Sint-Amands;Puurs-Sint-Amands;Puurs-Sint-Amands;4,2782;51,0763;12041
Quaregnon;Quaregnon;Quaregnon;3,8645;50,4435;53065
Quévy;Quévy;Quévy;4,0291;50,3796;53084
Quiévrain;Quiévrain;Quiévrain;3,6827;50,4051;53068
Raeren;Raeren;Raeren;6,1113;50,6759;63061
Ramillies;Ramillies;Ramillies;4,8708;50,6441;25122
Ranst;Ranst;Ranst;4,6039;51,1814;11035
Ravels;Ravels;Ravels;5,0057;51,4114;13035
Rebecq;Rebecq;Rebecq;4,1326;50,6653;25123
Remicourt;Remicourt;Remicourt;5,3204;50,6784;64063
